lat,lon,probability
21.5,79.5,0.8641
21.5,79.75,0.9456
21.5,80.0,0.8719
21.5,80.25,0.9573
21.5,80.5,0.9846
21.5,80.75,0.9303
21.5,81.0,0.8867
21.5,81.25,0.8891
21.5,81.5,0.782
21.5,81.75,0.9319
21.5,82.0,0.7888
21.5,82.25,0.6155
21.5,82.5,0.7985
21.5,82.75,0.8879
21.5,83.0,0.9158
21.5,83.25,0.6801
21.5,83.5,0.6489
21.5,83.75,0.9463
21.75,76.0,0.908
21.75,76.25,0.7318
21.75,76.5,0.8164
21.75,76.75,0.7072
21.75,77.0,0.7747
21.75,77.25,0.8414
21.75,77.5,0.6563
21.75,77.75,0.6141
21.75,78.0,0.8054
21.75,78.25,0.4738
21.75,78.5,0.7706
21.75,78.75,0.9399
21.75,79.0,0.9291
21.75,79.25,0.9221
21.75,79.5,0.8536
21.75,79.75,0.9053
21.75,80.0,0.9522
21.75,80.25,0.9106
21.75,80.5,0.9983
21.75,80.75,0.9786
21.75,81.0,0.8825
21.75,81.25,0.8423
21.75,81.5,0.8109
21.75,81.75,0.8209
21.75,82.0,0.8545
21.75,82.25,0.6826
21.75,82.5,0.7204
21.75,82.75,0.858
21.75,83.0,0.755
21.75,83.25,0.8633
21.75,83.5,0.7004
21.75,83.75,0.9616
22.0,76.0,0.7782
22.0,76.25,0.7541
22.0,76.5,0.725
22.0,76.75,0.6915
22.0,77.0,0.7155
22.0,77.25,0.9641
22.0,77.5,0.685
22.0,77.75,0.9593
22.0,78.0,0.9328
22.0,78.25,0.9798
22.0,78.5,0.8845
22.0,78.75,0.5503
22.0,79.0,0.7975
22.0,79.25,0.6433
22.0,79.5,0.6298
22.0,79.75,0.7846
22.0,80.0,0.9757
22.0,80.25,0.9578
22.0,80.5,0.9729
22.0,80.75,0.8446
22.0,81.0,0.932
22.0,81.25,0.9328
22.0,81.5,0.9382
22.0,81.75,0.8512
22.0,82.0,0.9231
22.0,82.25,0.7514
22.0,82.5,0.7761
22.0,82.75,0.859
22.0,83.0,0.7246
22.0,83.25,0.9604
22.0,83.5,0.8905
22.0,83.75,0.9079
22.25,76.0,0.6058
22.25,76.25,0.8597
22.25,76.5,0.4866
22.25,76.75,0.5103
22.25,77.0,0.7174
22.25,77.25,0.9497
22.25,77.5,0.8606
22.25,77.75,0.7707
22.25,78.0,0.7742
22.25,78.25,0.748
22.25,78.5,0.9661
22.25,78.75,0.8208
22.25,79.0,0.6826
22.25,79.25,0.6476
22.25,79.5,0.8681
22.25,79.75,0.7078
22.25,80.0,0.9555
22.25,80.25,0.9536
22.25,80.5,0.9729
22.25,80.75,0.9829
22.25,81.0,0.9883
22.25,81.25,0.7375
22.25,81.5,0.8617
22.25,81.75,0.8391
22.25,82.0,0.7709
22.25,82.25,0.9327
22.25,82.5,0.9035
22.25,82.75,0.9198
22.25,83.0,0.9241
22.25,83.25,0.9959
22.25,83.5,0.9577
22.25,83.75,0.7394
22.5,76.0,0.7192
22.5,76.25,0.4971
22.5,76.5,0.8845
22.5,76.75,0.6683
22.5,77.0,0.7445
22.5,77.25,0.9319
22.5,77.5,0.9782
22.5,77.75,0.974
22.5,78.0,0.7828
22.5,78.25,0.9738
22.5,78.5,0.99
22.5,78.75,0.4196
22.5,79.0,0.7253
22.5,79.25,0.9493
22.5,79.5,0.7517
22.5,79.75,0.3527
22.5,80.0,0.7307
22.5,80.25,0.7233
22.5,80.5,0.8772
22.5,80.75,0.6469
22.5,81.0,0.6882
22.5,81.25,0.9815
22.5,81.5,0.9705
22.5,81.75,1.0
22.5,82.0,0.9014
22.5,82.25,0.585
22.5,82.5,0.9017
22.5,82.75,0.9707
22.5,83.0,0.8028
